=== JOY OVERRIDE START INJECTION TEST ===
Rom: zelda_v540
Start injection frame: 900
Max frames: 2000

Frame | Script | Sub | PPULoad | Slot | PPUCtrl | PPUMask | VRAMAddr | Ready | Notes
1320 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1330 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1340 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1350 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1360 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1370 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1380 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1390 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1400 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1410 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1420 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1430 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1440 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1450 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1460 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1470 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1480 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1490 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1500 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1510 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1520 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1530 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1540 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1550 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1560 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1570 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1580 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1590 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1600 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1610 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1620 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1630 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1640 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1650 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1660 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1670 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1680 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1690 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1700 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1710 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1720 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1730 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1740 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1750 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1760 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1770 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1780 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1790 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1800 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1810 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1820 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1830 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1840 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1850 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1860 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1870 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1880 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1890 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1900 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1910 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1920 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1930 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1940 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1950 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1960 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1970 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1980 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1990 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
2000 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 

=== TEST COMPLETE ===
Final frame: 2000
