frame,pc,trace_last,trace_seq,addr,tile_index,byte_in_tile,value,vram_addr_curr,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,d0,d1,d2,d3,d4,a0,a1
157,000C86,0403,03B6,FFCE18,00E1,8,06,0E18,00,FF,00,20,36,0F,20,00000406,0000002E,0000000E,00000E18,00010E18,00FFC000,0001874F
157,000C86,0403,03B6,FFCE19,00E1,9,58,0E19,00,FF,00,20,36,0F,20,00000458,0000002D,0000000E,00000E19,00010E19,00FFC000,00018750
157,000C86,0403,03B6,FFCE1A,00E1,10,14,0E1A,00,FF,00,20,36,0F,20,00000414,0000002C,0000000E,00000E1A,00010E1A,00FFC000,00018751
157,000C86,0403,03B6,FFCE1B,00E1,11,3C,0E1B,00,FF,00,20,36,0F,20,0000043C,0000002B,0000000E,00000E1B,00010E1B,00FFC000,00018752
157,000C86,0403,03B6,FFCE1C,00E1,12,00,0E1C,00,FF,00,20,36,0F,20,00000400,0000002A,0000000E,00000E1C,00010E1C,00FFC000,00018753
157,000C86,0403,03B6,FFCE1D,00E1,13,27,0E1D,00,FF,00,20,36,0F,20,00000427,00000029,0000000E,00000E1D,00010E1D,00FFC000,00018754
157,000C86,0403,03B6,FFCE1E,00E1,14,13,0E1E,00,FF,00,20,36,0F,20,00000413,00000028,0000000E,00000E1E,00010E1E,00FFC000,00018755
157,000C86,0403,03B6,FFCE1F,00E1,15,C2,0E1F,00,FF,00,20,36,0F,20,000004C2,00000027,0000000E,00000E1F,00010E1F,00FFC000,00018756
157,000C86,0403,03B6,FFCE20,00E2,0,00,0E20,00,FF,00,20,36,0F,20,00000400,00000026,0000000E,00000E20,00010E20,00FFC000,00018757
157,000C86,0403,03B6,FFCE21,00E2,1,FF,0E21,00,FF,00,20,36,0F,20,000004FF,00000025,0000000E,00000E21,00010E21,00FFC000,00018758
157,000C86,0403,03B6,FFCE22,00E2,2,00,0E22,00,FF,00,20,36,0F,20,00000400,00000024,0000000E,00000E22,00010E22,00FFC000,00018759
157,000C86,0403,03B6,FFCE23,00E2,3,00,0E23,00,FF,00,20,36,0F,20,00000400,00000023,0000000E,00000E23,00010E23,00FFC000,0001875A
157,000C86,0403,03B6,FFCE24,00E2,4,61,0E24,00,FF,00,20,36,0F,20,00000461,00000022,0000000E,00000E24,00010E24,00FFC000,0001875B
157,000C86,0403,03B6,FFCE25,00E2,5,26,0E25,00,FF,00,20,36,0F,20,00000426,00000021,0000000E,00000E25,00010E25,00FFC000,0001875C
157,000C86,0403,03B6,FFCE26,00E2,6,14,0E26,00,FF,00,20,36,0F,20,00000414,00000020,0000000E,00000E26,00010E26,00FFC000,0001875D
157,000C86,0403,03B6,FFCE27,00E2,7,3C,0E27,00,FF,00,20,36,0F,20,0000043C,0000001F,0000000E,00000E27,00010E27,00FFC000,0001875E
157,000C86,0403,03B6,FFCE28,00E2,8,00,0E28,00,FF,00,20,36,0F,20,00000400,0000001E,0000000E,00000E28,00010E28,00FFC000,0001875F
