frame,system,rom_label,pc,ram_0000_t49,ram_0002_t17,ram_0003_t18,ram_0004_t18,game_mode,screen_ready,ram_script,ram_subscript,ppu_load_index,ram_frm_cnt,cur_save_slot,rendering_flag,ram_004D,ram_next_script,ram_005C,se_ptr_lo,se_ptr_hi,ram_006C_se,ram_00F6,btn_press,btn_hold,scroll_y,scroll_x,ram_for_2001,ram_for_2000,ram_0415,ram_041A,ram_041F,ram_0421,ram_0423,spr_index_1,spr_index_2,ram_042D,ram_042E,ram_0528,ram_05F1,ram_05F4,ram_05F5,ram_music,ram_music_busy,ram_060A,ram_060B,ram_060C,ram_060D,ram_0611,ram_0612,ram_0613,ram_0616,ram_0617,ram_0619,ram_061B,ppu_buf_status,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,ppu_buf_6,ppu_buf_7
64,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,27,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,11,01,D8,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,30,00,35,08,30,80,21,3F,00,FF,04,04,36,17,07,0F,FF
65,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,28,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,11,01,DA,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,2F,00,34,07,2F,80,22,3F,00,FF,04,04,36,17,07,0F,FF
66,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,29,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,12,01,DC,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,2E,00,33,06,2E,80,23,3F,00,FF,04,04,36,17,07,0F,FF
67,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,2A,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,12,01,DE,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,2D,00,32,05,2D,80,24,3F,00,FF,04,04,36,17,07,0F,FF
68,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,2B,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,13,01,E0,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,2C,00,31,04,2C,80,25,3F,00,3F,04,04,36,17,07,0F,FF
69,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,2C,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,13,01,E2,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,2B,00,30,03,2B,80,26,3F,00,FF,04,04,36,17,07,0F,FF
70,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,2D,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,14,01,B2,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,2A,00,2F,02,2A,80,27,3F,00,FF,04,04,36,17,07,0F,FF
71,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,2E,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,14,01,B4,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,29,00,2E,01,29,80,28,3F,00,FF,04,04,36,17,07,0F,FF
72,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,2F,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,15,01,B6,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3E,50,28,00,2D,28,28,80,29,3F,00,FF,04,04,36,17,07,0F,FF
73,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,30,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,15,01,B8,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3E,50,27,00,2C,27,27,80,2A,3F,00,FF,04,04,36,17,07,0F,FF
