frame,system,rom_label,kind,total_count,ordinal,event_id,event_name,arg0,arg1,arg2,seq_ptr_raw,ptr_res,seq_index,seq_byte,seq_source,ppu_index,ppu_ptr_raw,ppu_ptr_res
264,genesis,zelda_v540,ppu,137,136,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
264,genesis,zelda_v540,ppu,137,137,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
265,genesis,zelda_v540,ppu,139,138,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
265,genesis,zelda_v540,ppu,139,139,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
266,genesis,zelda_v540,ppu,141,140,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
266,genesis,zelda_v540,ppu,141,141,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
267,genesis,zelda_v540,ppu,143,142,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
267,genesis,zelda_v540,ppu,143,143,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
268,genesis,zelda_v540,ppu,145,144,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
268,genesis,zelda_v540,ppu,145,145,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
269,genesis,zelda_v540,ppu,147,146,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
269,genesis,zelda_v540,ppu,147,147,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
270,genesis,zelda_v540,ppu,149,148,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
270,genesis,zelda_v540,ppu,149,149,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
271,genesis,zelda_v540,ppu,151,150,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
271,genesis,zelda_v540,ppu,151,151,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
272,genesis,zelda_v540,ppu,153,152,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
272,genesis,zelda_v540,ppu,153,153,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
273,genesis,zelda_v540,ppu,155,154,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
273,genesis,zelda_v540,ppu,155,155,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
274,genesis,zelda_v540,ppu,157,156,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
274,genesis,zelda_v540,ppu,157,157,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
275,genesis,zelda_v540,ppu,159,158,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
275,genesis,zelda_v540,ppu,159,159,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
